チームコード	チーム名	順番	ライセンスNo.	選手名
MP014	手打蕎麦游山	4	1465	田村 翼
MP015	Heki Channel	1		入江 輝
MP015	Heki Channel	2	521	坂田 重徳
MP015	Heki Channel	3	1050	日置 秀一
MP015	Heki Channel	4		中川 琉晴
MP016	ピンスイーパーズ	1	793	岩楯 泰彦
MP016	ピンスイーパーズ	2		山本 誠也
MP016	ピンスイーパーズ	3		鍵谷 俊和
MP016	ピンスイーパーズ	4	897	池元 克美
MP017	晃平JAPAN ４RANGER	1		田中 友裕
MP017	晃平JAPAN ４RANGER	2	1493	豊田 晃平
MP017	晃平JAPAN ４RANGER	3		赤松 実
MP017	晃平JAPAN ４RANGER	4	843	辻 賢司
MP019	ファイト・153	1	368	柴田 英徳
MP019	ファイト・153	2		前畑 利樹
MP019	ファイト・153	3	347	原田 招雄
MP019	ファイト・153	4		井上 憲夫
MP020	人生投げっぱなしの4人組	1		松井健資朗
MP020	人生投げっぱなしの4人組	2	1488	渡邊 元造
MP020	人生投げっぱなしの4人組	3		山﨑 勝治
MP020	人生投げっぱなしの4人組	4	1232	鈴木都望耶
MP021	ゴルゴ13	1	352	貞松 保行
MP021	ゴルゴ13	2		城野 敏明
MP021	ゴルゴ13	3		松本 博
MP021	ゴルゴ13	4		手塚 泰
MP022	プロショップナカライ	1		望月 義宣
MP022	プロショップナカライ	2	572	横川 義雄
MP022	プロショップナカライ	3		佐藤 俊行
MP022	プロショップナカライ	4	312	半井 清
MP023	先生にお任せ♪	1		落合 悠人
MP023	先生にお任せ♪	2		原田 大聖
MP023	先生にお任せ♪	3		近田 裕介
MP023	先生にお任せ♪	4	1486	春木 悠里
MP024	G-4orce	1		宇埜 慎一
MP024	G-4orce	2		村上 智
MP024	G-4orce	3		関口 力
MP024	G-4orce	4	478	蒲生 敬
MP025	クラッシャーズ	1		浦口 健一
MP025	クラッシャーズ	2	1447	武本 真明
MP025	クラッシャーズ	3		守屋 雄斗
MP025	クラッシャーズ	4	1023	岡野 秀幸
MP026	どてPん	1		北田 典男
MP026	どてPん	2	1338	水本 有希
MP026	どてPん	3		古舘 秀ニ
MP026	どてPん	4	1070	呉竹 博之
MP027	丸田正河	1	1190	和田 秀和
MP027	丸田正河	2		井上 正敏
MP027	丸田正河	3	1214	福丸 哲平
MP027	丸田正河	4		村瀬 大河
MP028	炭火焼肉 大	1		河合 貞治
MP028	炭火焼肉 大	2	1024	大友 仁
MP028	炭火焼肉 大	3		友利 実
MP028	炭火焼肉 大	4		大底 英朗
MP029	リバティーハート「変幻自在」	1		木村 拓哉
MP029	リバティーハート「変幻自在」	2	1395	佐藤 貴啓
MP029	リバティーハート「変幻自在」	3		富沢 陽
MP029	リバティーハート「変幻自在」	4	1400	江川 司
MP030	石垣牛パワー	1		永石 弘輝
MP030	石垣牛パワー	2	1314	児玉 侑樹
MP030	石垣牛パワー	3		鈴木 利和
MP030	石垣牛パワー	4		加地 敏弘
MP031	たくPチャンネル	1		大底 青空
MP031	たくPチャンネル	2	1193	斉藤 琢哉
MP031	たくPチャンネル	3		嘉陽田朝日
MP031	たくPチャンネル	4		大底 楓
MP032	ちーむいなもり2026	1		稲森 友紀
MP032	ちーむいなもり2026	2		進藤 大輔
MP032	ちーむいなもり2026	3		芝柳 迅人
MP032	ちーむいなもり2026	4	1343	平岡 勇人
MP034	ゆうき100%	1		津田 優斗
MP034	ゆうき100%	2		門田 優樹
MP034	ゆうき100%	3	1268	松本 貴臣
MP034	ゆうき100%	4		中江 文義
MP035	瞬間冷却	1		竹内 秀昭
MP035	瞬間冷却	2	1240	野々山国幸
MP035	瞬間冷却	3		鬼頭 勇
MP035	瞬間冷却	4		篠原 五郎
MP036	プロテスト受験数合計15回？！	1	1494	山﨑雄太郎
MP036	プロテスト受験数合計15回？！	2		榎本 裕介
MP036	プロテスト受験数合計15回？！	3		大室 勝幸
MP036	プロテスト受験数合計15回？！	4	1437	鈴木 一彌
MP037	MCK	1		水野 陽介
MP037	MCK	2		和泉澤幸伸
MP037	MCK	3		森崎 孝幸
MP037	MCK	4	544	水野 成祐
MP039	IWATA industry	1		岩田 勝視
MP039	IWATA industry	2	102	藤村 重定
MP039	IWATA industry	3		植松 智之
MP039	IWATA industry	4	1394	藤村 隆史
MP040	キューピー親衛隊	1		宮城功一郎
MP040	キューピー親衛隊	2	1374	平塚 裕貴
MP040	キューピー親衛隊	3	1490	栗原 翔
MP040	キューピー親衛隊	4		木内 琳久
MP041	Wild OJ3+1	1	978	市原 竜太
MP041	Wild OJ3+1	2		吉田 茂樹
MP041	Wild OJ3+1	3		高谷 隆一
MP041	Wild OJ3+1	4	1227	鈴木 崇徳
MP042	Team KING	1		佐藤 宇宙
MP042	Team KING	2	1219	川添 奨太
MP042	Team KING	3		吉田 大祐
MP042	Team KING	4	1078	山本 勲
MP043	No Name	1	1479	立花 仁貴
MP043	No Name	2		立花 尚貴
MP043	No Name	3		石川 夕真
MP043	No Name	4	1500	畑 秀明
MP044	大田原牛とCOEDOで乾杯！	1		渡辺 福寿
MP044	大田原牛とCOEDOで乾杯！	2		内藤 良弘
MP044	大田原牛とCOEDOで乾杯！	3		石崎 翔平
MP044	大田原牛とCOEDOで乾杯！	4	912	中沢 奨
MP045	ガラクタファミリー	1		加茂 政生
MP045	ガラクタファミリー	2	390	宮内圭次郎
MP045	ガラクタファミリー	3		松岡 拓矢
MP045	ガラクタファミリー	4		森田 蒼生
MP046	チ-厶YNSK	1		中場 勉
MP046	チ-厶YNSK	2	349	山崎 行夫
MP046	チ-厶YNSK	3		小林 貴司
MP046	チ-厶YNSK	4	479	栴檀 稔
MP047	Tomodachi Lanes	1	1510	佐藤 耀斗
MP047	Tomodachi Lanes	2		Brandon Wreh
MP047	Tomodachi Lanes	3		宮元 勇生
MP047	Tomodachi Lanes	4	1032	工藤 貴志
MP048	Tomodachi Lanes2	1	1352	ﾌﾞﾗｲｱﾝ･ｸﾞﾘｰﾝｳｯﾄﾞ
MP048	Tomodachi Lanes2	2		Harley Hendren
MP048	Tomodachi Lanes2	3		清水 浩史
MP048	Tomodachi Lanes2	4		藤永 琉暉
MP049	CoCoレーン松本	1	1411	原田 岳
MP049	CoCoレーン松本	2		武井 弘司
MP049	CoCoレーン松本	3		馬留 久志
MP049	CoCoレーン松本	4		一ノ瀬 靖
MP050	ティーンおじさん？	1		人見 皇己
MP050	ティーンおじさん？	2	1204	中村 陽介
MP050	ティーンおじさん？	3		松元聖ノ佑
MP050	ティーンおじさん？	4	1245	大関 隆之
MP051	ゴリラパティシエ愛好家	1		北本 一樹
MP051	ゴリラパティシエ愛好家	2		辻本 博樹
MP051	ゴリラパティシエ愛好家	3		平中 亮輔
MP051	ゴリラパティシエ愛好家	4	1429	大久保雄矢
MP052	今年こそは美味しく昼食を…	1	1435	徳久 恵大
MP052	今年こそは美味しく昼食を…	2		浅川 啓大
MP052	今年こそは美味しく昼食を…	3		新舎 拓巳
MP052	今年こそは美味しく昼食を…	4	1511	菅原 奏
MP053	スピードグラフィックス	1		福田 徹
MP053	スピードグラフィックス	2		青柳 知幸
MP053	スピードグラフィックス	3		鈴木 博樹
MP053	スピードグラフィックス	4	1159	人見啓二朗
MP054	ササダチャンネル	1		岩倉 啓太
MP054	ササダチャンネル	2		小林真太郎
MP054	ササダチャンネル	3		井岡 聖一
MP054	ササダチャンネル	4	1310	笹田 泰裕
MP055	偏差値ローハイ40	1		柳田 祐路
MP055	偏差値ローハイ40	2		星合 一希
MP055	偏差値ローハイ40	3	1442	河内 唯斗
MP055	偏差値ローハイ40	4		瀬戸 翔
MP056	ＭＫ	1		北川 一幸
MP056	ＭＫ	2	885	平山 陽一
MP056	ＭＫ	3	988	吉井 昌幸
MP056	ＭＫ	4		本間 亘
MP057	BLACK BEARS	1	1484	熊木 大地
MP057	BLACK BEARS	2		岩田 知也
MP057	BLACK BEARS	3		平山 勝敏
MP057	BLACK BEARS	4		土田 敬一
MP058	SYRO	1		大月 光浩
MP058	SYRO	2	1132	佐野 芳宏
MP058	SYRO	3	1160	遠藤 誠
MP058	SYRO	4		吉田 幸司
MP059	ボウリングピン愛護協会	1		宮脇 信哉
MP059	ボウリングピン愛護協会	2	1323	牧野 司
MP059	ボウリングピン愛護協会	3		福原 隆義
MP059	ボウリングピン愛護協会	4	1481	福原 尊
MP060	パンサラッサ	1	1463	藤 博文
MP060	パンサラッサ	2		村永 一樹
MP060	パンサラッサ	3		山野 弘喜
MP060	パンサラッサ	4		田代晃嗣郎
MP061	TEAM MIZU-P	1		竹内 淳
MP061	TEAM MIZU-P	2		古市 達也
MP061	TEAM MIZU-P	3	913	水谷 孝敏
MP061	TEAM MIZU-P	4		亀井 浩平
MP062	SHARKPROと仲間達	1		椎野 健太
MP062	SHARKPROと仲間達	2		植村 翔
MP062	SHARKPROと仲間達	3		早川 誠
MP062	SHARKPROと仲間達	4	1428	鮫島 蓮
MP063	のぶけんボウリング	1		白濱 大夢
MP063	のぶけんボウリング	2	1267	森本 健太
MP063	のぶけんボウリング	3	1287	藤井 信人
MP063	のぶけんボウリング	4		堤 祐樹
MP064	ガヤ❣かやすば4年目	1		北野 秀和
MP064	ガヤ❣かやすば4年目	2		橋梅 清文
MP064	ガヤ❣かやすば4年目	3		中山 健一
MP064	ガヤ❣かやすば4年目	4	1182	門奈 大介
MP065	ペンギンアイスクリーム	1		渡邊 亮
MP065	ペンギンアイスクリーム	2		関谷 啓二
MP065	ペンギンアイスクリーム	3	1406	原田 裕史
MP065	ペンギンアイスクリーム	4		高橋 恭介
MP066	KURARA	1		百合 昭博
MP066	KURARA	2		西薗 靖広
MP066	KURARA	3		森 和幸
MP066	KURARA	4	431	吉川 邦男
MP067	JustFourGuys26	1	443	平田 三男
MP067	JustFourGuys26	2		古世 誠
MP067	JustFourGuys26	3		加藤 秀和
MP067	JustFourGuys26	4		杉浦 彰紀
MP068	Tanakaと大きな小動物たち	1		小柳津裕介
MP068	Tanakaと大きな小動物たち	2		田中 俊樹
MP068	Tanakaと大きな小動物たち	3	900	糸山賀津人
MP068	Tanakaと大きな小動物たち	4		光岡 秀
MP069	JTBA	1	1358	角戸 英隆
MP069	JTBA	2		中川 大輔
MP069	JTBA	3	892	高城 明文
MP069	JTBA	4		川西 正顕
MP070	頑張麗IIII	1		水野 優亮
MP070	頑張麗IIII	2	1372	戸辺 誠
MP070	頑張麗IIII	3	1483	山中 麗
MP070	頑張麗IIII	4		黒木 和哉
MP071	あいたまⅢ	1		若松 亨好
MP071	あいたまⅢ	2	1349	入口 光司
MP071	あいたまⅢ	3		齋藤 大哉
MP071	あいたまⅢ	4	1361	堀ノ内智大
MP072	パペットスンスン大好き！♡	1		上屋敷佑弥
MP072	パペットスンスン大好き！♡	2	1377	羽賀 秀和
MP072	パペットスンスン大好き！♡	3		小屋 壮生
MP072	パペットスンスン大好き！♡	4	1403	柿沼 貴史
MP073	稲沢グランドボウル	1		原 和実
MP073	稲沢グランドボウル	2	1025	斉藤 茂雄
MP073	稲沢グランドボウル	3		栗井 一久
MP073	稲沢グランドボウル	4		谷口 満
MP074	KYLB	1	1506	諏訪間皆丞
MP074	KYLB	2		山内 隼太
MP074	KYLB	3		小俣純之介
MP074	KYLB	4	1448	木村 謙太
MP075	3九1四	1		高橋 晃大
MP075	3九1四	2		安達 悠汰
MP075	3九1四	3		牧 遼太朗
MP075	3九1四	4	1454	前田 祐輔
MP076	N＆K×ジャパン	1		尾形 恵吾
MP076	N＆K×ジャパン	2	1443	藤永 北斗
MP076	N＆K×ジャパン	3		須田風海音
MP076	N＆K×ジャパン	4		福満 亮
MP077	アイビーボウル越谷	1		片桐万貴人
MP077	アイビーボウル越谷	2		吉村 和将
MP077	アイビーボウル越谷	3		根津 泰正
MP077	アイビーボウル越谷	4	1162	連保 友輔
MP078	ITCと谷合貴志	1	1477	西山 翔悟
MP078	ITCと谷合貴志	2		鈴木 義経
MP078	ITCと谷合貴志	3	1289	谷合 貴志
MP078	ITCと谷合貴志	4		鈴木笑太郎
MP079	レフティ＆ツーハンド	1		野田 正樹
MP079	レフティ＆ツーハンド	2	1461	鶴見 亮剛
MP079	レフティ＆ツーハンド	3		馬場琥太郎
MP079	レフティ＆ツーハンド	4	1476	山本 晃
MP080	梶部屋	1		岡本 博隆
MP080	梶部屋	2	905	太田 隆昌
MP080	梶部屋	3		松本 一朗
MP080	梶部屋	4	860	梶 義宏
MP081	松下塾	1		山下 翔
MP081	松下塾	2		飯野 誠
MP081	松下塾	3	1281	松岡 秀法
MP081	松下塾	4		松下 昭史
MP082	フレンドリー東向島	1		岩間 陽大
MP082	フレンドリー東向島	2	1455	村上 裕一
MP082	フレンドリー東向島	3		染谷 和良
MP082	フレンドリー東向島	4		小林 見静
MP083	しらんけど	1	1379	岡田 良
MP083	しらんけど	2		平田 直也
MP083	しらんけど	3	835	中平 幸男
MP083	しらんけど	4		芦沢 克哲
MP084	あっきー先輩のリベンジ！	1		廣瀬 竜一
MP084	あっきー先輩のリベンジ！	2		堂本 好宏
MP084	あっきー先輩のリベンジ！	3	976	高橋 昭弘
MP084	あっきー先輩のリベンジ！	4		加藤 勇紀
MP085	緑は正義？パート4	1	1405	湯浅 敬太
MP085	緑は正義？パート4	2		井本 一成
MP085	緑は正義？パート4	3		藤本 裕文
MP085	緑は正義？パート4	4		倉橋 大樹
MP086	受験費総額〇〇円！	1	1496	濵名 晃司
MP086	受験費総額〇〇円！	2		松尾 宏記
MP086	受験費総額〇〇円！	3		春名 佑樹
MP086	受験費総額〇〇円！	4		小田 和希
MP087	ブレイクスルー	1		酒井 一翔
MP087	ブレイクスルー	2		酒井 伸一
MP087	ブレイクスルー	3		北林 凌太
MP087	ブレイクスルー	4	1396	北原 泰輔
MP089	MY⁴	1		森崎 将樹
MP089	MY⁴	2	1384	水野 耕佑
MP089	MY⁴	3		南 英典
MP089	MY⁴	4	1390	吉野 浩章
MP090	SZBL	1	1433	井口 遼太
MP090	SZBL	2		本田 豊
MP090	SZBL	3	1451	小野 在由
MP090	SZBL	4		今津 友希
MP091	オルコックアラビアン	1	1345	甘糟 翔太
MP091	オルコックアラビアン	2		大森 千空
MP091	オルコックアラビアン	3	1350	山中 悟
MP091	オルコックアラビアン	4		服部 晃盛
MP092	逆襲のデュクシ	1		能松 真也
MP092	逆襲のデュクシ	2		三宅 佑典
MP092	逆襲のデュクシ	3		井上宗一郎
MP092	逆襲のデュクシ	4	1369	木田 大輔
MP093	Team Shu-king	1	1366	嶋田 佑介
MP093	Team Shu-king	2		山田 裕
MP093	Team Shu-king	3		升水 祐介
MP093	Team Shu-king	4		本村 健二
MP094	チーム広島	1		蜂谷 一樹
MP094	チーム広島	2	1408	髙安 真司
MP094	チーム広島	3		宮中 貴英
MP094	チーム広島	4	1344	竹本 圭実
MP095	keep on walking	1	1171	菅原 晃一
MP095	keep on walking	2		石田 秀樹
MP095	keep on walking	3		飯塚 孝士
MP095	keep on walking	4		中田 英一
MP096	アートプリントAi	1		戸井 裕也
MP096	アートプリントAi	2		大石 大輔
MP096	アートプリントAi	3		澤村 敬史
MP096	アートプリントAi	4	1269	大城クラウディオ
MP097	KYUPOKOMO	1	1225	小森 清人
MP097	KYUPOKOMO	2		渡辺 大樹
MP097	KYUPOKOMO	3		川原 健
MP097	KYUPOKOMO	4		平澤 学
MP098	菖平が頑張ります！たぶん！！	1		瀬野 和博
MP098	菖平が頑張ります！たぶん！！	2	1064	菅原 秀二
MP098	菖平が頑張ります！たぶん！！	3		小西 菖平
MP098	菖平が頑張ります！たぶん！！	4	1031	井上 純平
MP099	コバヤシチャンネル	1	1392	松浦 和彦
MP099	コバヤシチャンネル	2		伊藤 海斗
MP099	コバヤシチャンネル	3	1277	小林 孝至
MP099	コバヤシチャンネル	4		永嶋 堅一
MP100	懲りずにまたこの4人	1		渡辺 輝一
MP100	懲りずにまたこの4人	2		畠山 増巳
MP100	懲りずにまたこの4人	3		加藤 吉則
MP100	懲りずにまたこの4人	4	1022	黒田 仙雄
MP101	HMG	1	1307	播摩 友和
MP101	HMG	2		宮越 健一
MP101	HMG	3	515	木村 紀夫
MP101	HMG	4		清水 康次
MP102	こっこっこんにちは！	1		落合 唯斗
MP102	こっこっこんにちは！	2	1456	太田 貴久
MP102	こっこっこんにちは！	3		山口 直矢
MP102	こっこっこんにちは！	4	1444	内藤慎之介
MP103	たくみは戦力外通告	1		藤井 拓海
MP103	たくみは戦力外通告	2		新井 希空
MP103	たくみは戦力外通告	3		原 理人
MP103	たくみは戦力外通告	4	1487	御手洗彰彦
MP104	大巨人と仲間たち	1		澤村 智彰
MP104	大巨人と仲間たち	2		堀江真一朗
MP104	大巨人と仲間たち	3		安田 洋規
MP104	大巨人と仲間たち	4	1302	長岡 義一
MP105	片手投げの逸材たち	1		塚越 翔太
MP105	片手投げの逸材たち	2	1424	坂本 就馬
MP105	片手投げの逸材たち	3		石川 裕大
MP105	片手投げの逸材たち	4	1445	宮澤 拓哉
MP106	カムバックメガネ	1		上村 健一
MP106	カムバックメガネ	2	1397	北野 優輝
MP106	カムバックメガネ	3		松本 吉広
MP106	カムバックメガネ	4	906	富永 尚
MP107	TEAM178	1		中冨 太智
MP107	TEAM178	2		浦川 毅
MP107	TEAM178	3		麻生 汐音
MP107	TEAM178	4	1275	稲葉 竜太
MP108	若気の至り	1	1453	石田 智輝
MP108	若気の至り	2		水野 紘大
MP108	若気の至り	3		塚田 侑希
MP108	若気の至り	4	1452	内藤 広人
MP109	プロショップＫＯＧＡＮＥ	1		小林 隆
MP109	プロショップＫＯＧＡＮＥ	2		高原 勝
MP109	プロショップＫＯＧＡＮＥ	3	1013	小金 正治
MP109	プロショップＫＯＧＡＮＥ	4		道家 靖明
MP110	カムバックジャパニーズ兵隊さん	1	1434	原口 優馬
MP110	カムバックジャパニーズ兵隊さん	2		枝吉 誠
MP110	カムバックジャパニーズ兵隊さん	3	1423	安里 秀策
MP110	カムバックジャパニーズ兵隊さん	4		村濱 裕紀
MP111	連番だよ！！！	1		開 啓太
MP111	連番だよ！！！	2	911	村上 旭
MP111	連番だよ！！！	3		川上 敏則
MP111	連番だよ！！！	4	910	鈴木 博喜
MP112	ホリエジャパン2026	1		西島 浩一
MP112	ホリエジャパン2026	2	1149	榎本 浩也
MP112	ホリエジャパン2026	3		大貫 大介
MP112	ホリエジャパン2026	4	1077	堀江 真一
MP113	ボウリングより男飯🍚	1		久保 謙吾
MP113	ボウリングより男飯🍚	2		清水 智幸
MP113	ボウリングより男飯🍚	3		西原 亮
MP113	ボウリングより男飯🍚	4	944	石野 宏
MP114	まあちゃんず	1		小川 勝治
MP114	まあちゃんず	2		青柳 敬吉
MP114	まあちゃんず	3		栗城 裕司
MP114	まあちゃんず	4	379	斉藤 正典
MP115	スカイウォーカーOG	1	1468	佐藤 亜優
MP115	スカイウォーカーOG	2		國澤 宇一
MP115	スカイウォーカーOG	3	1501	菅野 直人
MP115	スカイウォーカーOG	4		熊 凌太
MP117	RPM CREW	1		宮谷 拓海
MP117	RPM CREW	2	1467	菊田 樹
MP117	RPM CREW	3		吉原 正明
MP117	RPM CREW	4		佐藤 滉介
MP118	鷲やないか	1		田代 泰裕
MP118	鷲やないか	2	1291	渡邊 雄也
MP118	鷲やないか	3		山本 竜也
MP118	鷲やないか	4		清原 優也
MP119	ACファミリー	1		森 裕雅
MP119	ACファミリー	2		後藤 海斗
MP119	ACファミリー	3		日比野佳之
MP119	ACファミリー	4	167	星野 宏幸
MP120	JLBS	1	1440	鈴木 健也
MP120	JLBS	2		イ・チャンモク
MP120	JLBS	3		ジャン・ウミン
MP120	JLBS	4		べ・ドゥクヒョン
MP121	森羅万象	1	1503	山下 秀人
MP121	森羅万象	2		望月 瞭
MP121	森羅万象	3	1489	藤井 大河
MP121	森羅万象	4		渡部 冬真
MP122	at Twenty	1	1208	中内 明弘
MP122	at Twenty	2		加内 豊
MP122	at Twenty	3		高橋 慶人
MP122	at Twenty	4		高橋 優太
MP123	奥様は美魔女	1		坪井 亮太
MP123	奥様は美魔女	2	870	坪井 実
MP123	奥様は美魔女	3		仙野 和也
MP123	奥様は美魔女	4	514	高橋 延明
MP124	チーム995(6G)	1	1401	畑野 健人
MP124	チーム995(6G)	2		名原 克海
MP124	チーム995(6G)	3		前川 迪哉
MP124	チーム995(6G)	4	1051	齋田 猛
MP125	ちびっ子と保護者一同	1		清原 康信
MP125	ちびっ子と保護者一同	2		鈴木 昭
MP125	ちびっ子と保護者一同	3		堤 泰三
MP125	ちびっ子と保護者一同	4	1229	上田 晋也
MP126	one･two handed	1		臼井慎之介
MP126	one･two handed	2		小林 星暉
MP126	one･two handed	3		加山 峰之
MP126	one･two handed	4	918	中野 和弘
MP127	匠くんにお任せ	1		糸井廉太郎
MP127	匠くんにお任せ	2	1478	倉持 悠人
MP127	匠くんにお任せ	3		田子 佑希
MP127	匠くんにお任せ	4	1399	神山 匠
MP128	肉球会男子Ⅲ♠	1		若松 篤史
MP128	肉球会男子Ⅲ♠	2		竹本 弘憲
MP128	肉球会男子Ⅲ♠	3		鈴木 啓介
MP128	肉球会男子Ⅲ♠	4	1419	大沼はるか
MP129	WAVE	1		西谷 聡太
MP129	WAVE	2	435	長谷 宏
MP129	WAVE	3		広田 利博
MP129	WAVE	4		古荘 豊
MP130	デヴ上等シーズン1	1	1485	山﨑 陸斗
MP130	デヴ上等シーズン1	2		久保山祐至
MP130	デヴ上等シーズン1	3	1469	田野岡大夢
MP130	デヴ上等シーズン1	4		山本 和紀
MP131	なべＰと愉快な仲間たち	1		下地 一輝
MP131	なべＰと愉快な仲間たち	2	1509	上江洲琉心
MP131	なべＰと愉快な仲間たち	3		堂元 孝修
MP131	なべＰと愉快な仲間たち	4	1220	渡邉 航明
MP132	traveling bus	1	1364	渡邊虎太郎
MP132	traveling bus	2		松井 健真
MP132	traveling bus	3		小野 哲史
MP132	traveling bus	4		駒木 亮太
MP133	のり×のり工務店	1		松木 敏幸
MP133	のり×のり工務店	2		金場 大史
MP133	のり×のり工務店	3		中島 紀彦
MP133	のり×のり工務店	4	1348	佐藤 昌徳
MP134	ころころかなちゅー	1		向山 大樹
MP134	ころころかなちゅー	2	1386	加藤翔太郎
MP134	ころころかなちゅー	3		小林 拓己
MP134	ころころかなちゅー	4		大井 学
MP135	りっきーず。	1		福田 昌弘
MP135	りっきーず。	2		臼井総一郎
MP135	りっきーず。	3		菅波 奎介
MP135	りっきーず。	4	1376	松田 力也
MP136	やまP＆チームハイローズ	1	1295	山下 周作
MP136	やまP＆チームハイローズ	2		山口 重雄
MP136	やまP＆チームハイローズ	3		山岡 学
MP136	やまP＆チームハイローズ	4		前田 太成
MP137	夜のピン芸人達	1	1482	井之上准己
MP137	夜のピン芸人達	2		森上 建二
MP137	夜のピン芸人達	3		安藤 英司
MP137	夜のピン芸人達	4		阿部 晋也
MP138	歌滋郎ヤル滋郎○滋郎	1		藤城 大輔
MP138	歌滋郎ヤル滋郎○滋郎	2	1092	正田 晃也
MP138	歌滋郎ヤル滋郎○滋郎	3		笹嶋 栄司
MP138	歌滋郎ヤル滋郎○滋郎	4	1362	髙井裕滋郎
MP139	ドブネズミの美学	1		西尾 陽太
MP139	ドブネズミの美学	2		尾高 翔太
MP139	ドブネズミの美学	3		金野 颯太
MP139	ドブネズミの美学	4	1459	山本 義達
MP140	総体重◯◯Kg	1		岩井 俊輔
MP140	総体重◯◯Kg	2	1431	木村 晃
MP140	総体重◯◯Kg	3		蝦名 琉羽
MP140	総体重◯◯Kg	4	1432	羽ヶ﨑匠海
MP141	ミートボール	1		高橋 通
MP141	ミートボール	2	1034	土井 貢
MP141	ミートボール	3		小幡 章夫
MP141	ミートボール	4		酒井 考司
MP142	Kato P World	1	1066	加藤 祐哉
MP142	Kato P World	2		山口 隆博
MP142	Kato P World	3		森 高義
MP142	Kato P World	4	1125	相澤 英昭
MP143	四喜八楽	1		兒玉 翔
MP143	四喜八楽	2		伊里 秀太
MP143	四喜八楽	3		福田 透
MP143	四喜八楽	4	1334	井手 哲
MP144	スバラボ	1		志岐 卓信
MP144	スバラボ	2		佐藤九十九
MP144	スバラボ	3		稲毛 賢治
MP144	スバラボ	4	974	永野すばる
MP145	元中四国学連のデンジャーメン	1		野村 経博
MP145	元中四国学連のデンジャーメン	2		大下 耕平
MP145	元中四国学連のデンジャーメン	3		坂本 知聡
MP145	元中四国学連のデンジャーメン	4	1337	今瀧 賢
MP146	TEAM OHGO	1	792	黒川 靖
MP146	TEAM OHGO	2		笠原 直幸
MP146	TEAM OHGO	3		栗林 清彦
MP146	TEAM OHGO	4	1021	大胡 一平
MP147	気持ちはホームランダー	1		寺地 真輝
MP147	気持ちはホームランダー	2		野呂 翔羅
MP147	気持ちはホームランダー	3		佐名 一輝
MP147	気持ちはホームランダー	4	1480	石川 巧真
MP148	十代目 JS BROTHERS	1		多胡 陽葵
MP148	十代目 JS BROTHERS	2		齋藤 亮太
MP148	十代目 JS BROTHERS	3		齋藤 裕也
MP148	十代目 JS BROTHERS	4	927	品田順一郎
MP149	プロ2人次第！	1		羽田 楓
MP149	プロ2人次第！	2	1430	田中 義一
MP149	プロ2人次第！	3		登川 一真
MP149	プロ2人次第！	4	1441	金子 猛
MP150	ナイスガイ	1	1198	小林 哲也
MP150	ナイスガイ	2		黒田アーサー
MP150	ナイスガイ	3		照井 一央
MP150	ナイスガイ	4	949	砂子 明廣
