チームコード	チーム名	順番	ライセンスNo.	選手名
WP012	湘南ゴージャスΩ無双	3		吉川 真弓
WP012	湘南ゴージャスΩ無双	4	409	吉川 朋絵
WP013	TEAM★新生ボウルスター	1		新西 智子
WP013	TEAM★新生ボウルスター	2	641	中村 心
WP013	TEAM★新生ボウルスター	3		横山 小枝
WP013	TEAM★新生ボウルスター	4	630	野村 美羽
WP014	Team CytR	1		河東 嘉子
WP014	Team CytR	2		豊田登志子
WP014	Team CytR	3		神通川千晶
WP014	Team CytR	4	509	前屋 瑠美
WP015	ダズリングガールズ	1		松井ひなた
WP015	ダズリングガールズ	2	616	太 琳華
WP015	ダズリングガールズ	3		黒木 美羽
WP015	ダズリングガールズ	4	612	德田 有紀
WP016	がんばりや～	1		田中 心那
WP016	がんばりや～	2	232	小野利美子
WP016	がんばりや～	3		川上 岬
WP016	がんばりや～	4	390	河上 未希
WP017	転球稲女子	1		中野 順子
WP017	転球稲女子	2		吉川 啓子
WP017	転球稲女子	3		松川由美子
WP017	転球稲女子	4	577	筒井 美紀
WP018	ピン飛ばしたが～るず♡	1	451	望月 理江
WP018	ピン飛ばしたが～るず♡	2		松浦 一美
WP018	ピン飛ばしたが～るず♡	3		石嶺可奈子
WP018	ピン飛ばしたが～るず♡	4	372	板倉奈智美
WP019	可愛いが正義	1		菅野 沙織
WP019	可愛いが正義	2		入江菜々美
WP019	可愛いが正義	3		川上 菜緒
WP019	可愛いが正義	4	587	今井 双葉
WP020	Team Legend2026	1		桑原 寿子
WP020	Team Legend2026	2	194	松井八知栄
WP020	Team Legend2026	3		井出由紀子
WP020	Team Legend2026	4	173	時本美津子
WP021	プラチナレディー	1	161	加藤八千代
WP021	プラチナレディー	2		深瀬 美夏
WP021	プラチナレディー	3	223	長縄多禧子
WP021	プラチナレディー	4		松木 千春
WP022	はるさちあやちゃんず♡	1	526	久保田彩花
WP022	はるさちあやちゃんず♡	2		古橋 あや
WP022	はるさちあやちゃんず♡	3		大久保幸江
WP022	はるさちあやちゃんず♡	4	583	堀井 春花
WP023	ガッチャンコ4	1	611	新舎菜々美
WP023	ガッチャンコ4	2		林 育美
WP023	ガッチャンコ4	3	631	山田 悠加
WP023	ガッチャンコ4	4		米山 侑花
WP024	脳内セレブ♡	1	399	村田 和子
WP024	脳内セレブ♡	2		大原 高子
WP024	脳内セレブ♡	3	438	香田 幸子
WP024	脳内セレブ♡	4		中川 晶子
WP025	もふもふ命	1	619	坪井 美樹
WP025	もふもふ命	2		荒川 沙里
WP025	もふもふ命	3		石田 展子
WP025	もふもふ命	4	633	鈴木 李音
WP026	べっぱん！	1		戸塚 知菜
WP026	べっぱん！	2	617	安田明香里
WP026	べっぱん！	3		安里 紗希
WP026	べっぱん！	4	627	川口 茉紀
WP027	チームHotD	1	474	加瀬 一美
WP027	チームHotD	2		土井智恵子
WP027	チームHotD	3		日比野安希子
WP027	チームHotD	4	536	殿井ニラワティ
WP028	可憐に萌え9ゅんBURN！！	1		奥山 花蓮
WP028	可憐に萌え9ゅんBURN！！	2		大石 萌
WP028	可憐に萌え9ゅんBURN！！	3		笹田 紘子
WP028	可憐に萌え9ゅんBURN！！	4	463	岸田 有加
WP029	キューティーストレート	1		井上 梨乃
WP029	キューティーストレート	2	609	緒方 美空
WP029	キューティーストレート	3		町田 里紗
WP029	キューティーストレート	4	618	崎山 穂花
WP030	543★643	1	643	濱﨑 姫琉
WP030	543★643	2		数野有衣梨
WP030	543★643	3		井上 夢望
WP030	543★643	4	543	松尾 星伽
WP031	TEAM SSOSIO	1		種瀬 楓華
WP031	TEAM SSOSIO	2	558	坂倉 凜
WP031	TEAM SSOSIO	3		松本 栞菜
WP031	TEAM SSOSIO	4	515	坂倉にいな
WP032	Typhoon World	1		Maria José Rodriguez
WP032	Typhoon World	2	449	宮城 鈴菜
WP032	Typhoon World	3		薄窪 夢叶
WP032	Typhoon World	4		足立 友美
WP033	HIME♡NATSU	1	600	金子 萌夏
WP033	HIME♡NATSU	2		田口みちる
WP033	HIME♡NATSU	3		佐竹 希海
WP033	HIME♡NATSU	4	580	小沼 姫
WP034	rely on others	1		芳賀裕美子
WP034	rely on others	2	433	荻窪 美咲
WP034	rely on others	3		平嶋 彩葉
WP034	rely on others	4	286	佐藤由実子
WP035	にんじんファイターズ	1	556	澤田 春花
WP035	にんじんファイターズ	2		道上 結陽
WP035	にんじんファイターズ	3	553	廣澤 一美
WP035	にんじんファイターズ	4		水谷 貴代
WP036	他力本願ver.3	1		伊藤 昌代
WP036	他力本願ver.3	2	452	生方千登勢
WP036	他力本願ver.3	3		了舟さゆり
WP036	他力本願ver.3	4	441	平野 志帆
WP037	思ったより本気	1	582	中島 瑞葵
WP037	思ったより本気	2		長尾 梨沙
WP037	思ったより本気	3	599	石田 万音
WP037	思ったより本気	4		泉宗 心音
WP038	Ａ型女子♡	1		川島ゆりこ
WP038	Ａ型女子♡	2	371	藤田 麻衣
WP038	Ａ型女子♡	3		青鹿 丘枝
WP038	Ａ型女子♡	4	467	白石 順子
WP039	ARYH	1	478	小林あゆみ
WP039	ARYH	2		井上理律子
WP039	ARYH	3	595	内田 雪月
WP039	ARYH	4		内野ひかり
WP040	そろそろなぽたんお願いします★	1		細井 花
WP040	そろそろなぽたんお願いします★	2		伊藤 愛
WP040	そろそろなぽたんお願いします★	3		田口詩友璃
WP040	そろそろなぽたんお願いします★	4	598	近藤 菜帆
WP041	STEELともうすぐJK	1		國分美桜里
WP041	STEELともうすぐJK	2	361	植竹 幸子
WP041	STEELともうすぐJK	3		堀江 梓
WP041	STEELともうすぐJK	4	422	亀井 智美
WP042	いしょくコラボ	1	626	後藤光々音
WP042	いしょくコラボ	2		大西 陽子
WP042	いしょくコラボ	3	644	葛生 愛梨
WP042	いしょくコラボ	4		吉川樹里映
WP043	静かにできない女たち	1		見永 幸江
WP043	静かにできない女たち	2	567	大塚 由奈
WP043	静かにできない女たち	3		高橋 亜子
WP043	静かにできない女たち	4	615	野仲 美咲
WP044	なごみ～和～♡	1	538	髙 和美
WP044	なごみ～和～♡	2		浅野 友美
WP044	なごみ～和～♡	3		北川 洋子
WP044	なごみ～和～♡	4	459	森田 和紀
WP045	1234!	1		大久 実結
WP045	1234!	2	572	チョン･ヨンヒャン
WP045	1234!	3		井村 瑠菜
WP045	1234!	4	578	キム･ソヒョン
WP046	ありすでありんす	1		大島 晶子
WP046	ありすでありんす	2	638	高田 真帆
WP046	ありすでありんす	3		曲淵麻里花
WP046	ありすでありんす	4	407	アリス曲渕
WP047	3Ｍ＆ＹＯＵ	1		長坂真由美
WP047	3Ｍ＆ＹＯＵ	2		夏目 美和
WP047	3Ｍ＆ＹＯＵ	3		伊藤 美里
WP047	3Ｍ＆ＹＯＵ	4	289	中谷 優子
WP048	ネイチャーズ	1	335	森 ルミ
WP048	ネイチャーズ	2		山田 瞳
WP048	ネイチャーズ	3		戸谷偉津子
WP048	ネイチャーズ	4		河村 順子
WP049	ポケット行ってお願い！	1		坂井千寿佳
WP049	ポケット行ってお願い！	2	629	石井 萌佳
WP049	ポケット行ってお願い！	3		堀川 雪乃
WP049	ポケット行ってお願い！	4	635	森 ひかり
WP050	1枚クロス	1	634	根本 遥
WP050	1枚クロス	2		古瀬 智美
WP050	1枚クロス	3		渡邊 絢乃
WP050	1枚クロス	4	594	三上 彩奈
WP051	STAR☆LAB	1		木内 麻央
WP051	STAR☆LAB	2	603	緒方 彩音
WP051	STAR☆LAB	3		浦川 莉音
WP051	STAR☆LAB	4	352	姫路 麗
WP052	澪ちゃんにお任せ！最後は笑って	1	520	三浦 美里
WP052	澪ちゃんにお任せ！最後は笑って	2		澤野 澪
WP052	澪ちゃんにお任せ！最後は笑って	3		松橋 聡子
WP052	澪ちゃんにお任せ！最後は笑って	4		福田亜由美
WP053	Wonderful 60s	1		山中すみ江
WP053	Wonderful 60s	2		中島 月子
WP053	Wonderful 60s	3		太田 千恵
WP053	Wonderful 60s	4	412	佐藤 多美
WP054	Splash	1		北川 市子
WP054	Splash	2	386	北田真紀子
WP054	Splash	3		松本 香織
WP054	Splash	4	210	福井 清美
WP055	☆ＹＹＭＭ☆	1		篠原 優佳
WP055	☆ＹＹＭＭ☆	2		山内 優空
WP055	☆ＹＹＭＭ☆	3		浜野美紗稀
WP055	☆ＹＹＭＭ☆	4	561	髙橋 美穂
WP056	いけてるマダム	1		松本 祥子
WP056	いけてるマダム	2		鈴木由記子
WP056	いけてるマダム	3		保木 政代
WP056	いけてるマダム	4	297	座間 美子
WP057	YY	1		高橋 愛莉
WP057	YY	2	570	本橋 優美
WP057	YY	3		杉山くるみ
WP057	YY	4	545	大嶋 有香
WP058	東西華連	1		鈴木 波流
WP058	東西華連	2	639	須藤 真海
WP058	東西華連	3		中島 佳音
WP058	東西華連	4	585	清水 弘子
WP059	になみみ★	1		佐鳥 佳純
WP059	になみみ★	2	589	坂野ニイナ
WP059	になみみ★	3		臼井 愛菜
WP059	になみみ★	4	590	横山 実美
WP060	ほんまやで何でやねん打てんけど	1	623	井﨑 寛菜
WP060	ほんまやで何でやねん打てんけど	2		森江 彩羽
WP060	ほんまやで何でやねん打てんけど	3	625	熊田菜奈海
WP060	ほんまやで何でやねん打てんけど	4		井上 彩乃
WP061	世代超越♡よつば	1		石井 陽南
WP061	世代超越♡よつば	2	588	土屋 佑佳
WP061	世代超越♡よつば	3		村上 由美
WP061	世代超越♡よつば	4	592	中嶋 由美
WP062	になことらむもえち	1	636	網代 羅夢
WP062	になことらむもえち	2		長屋 似奈
WP062	になことらむもえち	3	632	室伏 萌
WP062	になことらむもえち	4		松田 寿夏
WP063	春雪	1	365	名和 秋
WP063	春雪	2		田 美淑
WP063	春雪	3		永井 秋穂
WP063	春雪	4	364	丹羽由香梨
WP064	なにわ女子	1	642	藤林 華音
WP064	なにわ女子	2		藤田 美空
WP064	なにわ女子	3		伊藤 有来
WP064	なにわ女子	4	602	中野 麻希
WP065	すぅしぃ♡team	1	534	大仲 純怜
WP065	すぅしぃ♡team	2		坂本 桃夏
WP065	すぅしぃ♡team	3		福与 恵子
WP065	すぅしぃ♡team	4	529	坂本詩緒里
WP066	チームＭ	1	294	宮田 澄子
WP066	チームＭ	2		東田 菜穂
WP066	チームＭ	3	290	松尾 紗妃
WP066	チームＭ	4		長谷川美輪
WP067	ガターしたら解散	1	568	越智 真南
WP067	ガターしたら解散	2		針谷明日香
WP067	ガターしたら解散	3	560	大久保咲桜
WP067	ガターしたら解散	4		中島 梨沙
WP068	わかちぃ★	1		儀間奈菜美
WP068	わかちぃ★	2	557	水谷 若菜
WP068	わかちぃ★	3		熊澤 希香
WP068	わかちぃ★	4	548	清水 千恵
WP069	腕はまっすぐ！	1	596	竹山 亜希
WP069	腕はまっすぐ！	2		池畑 由美
WP069	腕はまっすぐ！	3	581	尾上 萌楓
WP069	腕はまっすぐ！	4		小林 優子
WP070	EM3	1		榊原 元子
WP070	EM3	2		星野眞由美
WP070	EM3	3		谷口 真世
WP070	EM3	4	546	星野 恵梨
WP072	ちーむ★とんそく	1		野澤 優衣
WP072	ちーむ★とんそく	2	559	霜出 佳奈
WP072	ちーむ★とんそく	3	514	小久保実希
WP072	ちーむ★とんそく	4		杉崎 潤子
WP073	覚醒★ヒイロイズム	1		尾辻 智香
WP073	覚醒★ヒイロイズム	2	499	本間由佳梨
WP073	覚醒★ヒイロイズム	3		我孫子美葵
WP073	覚醒★ヒイロイズム	4	487	大石 奈緒
WP074	Quatre Clover	1		馬場 香苗
WP074	Quatre Clover	2	640	髙本 聖菜
WP074	Quatre Clover	3		酒井 愛
WP074	Quatre Clover	4	298	松岡美穂子
WP075	ツルとかも	1	200	加門 満代
WP075	ツルとかも	2		中村 千容
WP075	ツルとかも	3		北山 暢子
WP075	ツルとかも	4	143	鶴岡みさ子
WP076	ころころコロナワールド	1	604	溝口 睦実
WP076	ころころコロナワールド	2		住田 結萌
WP076	ころころコロナワールド	3		山田 尚美
WP076	ころころコロナワールド	4	508	若田 彩実
WP077	ちびプロと愉快な仲間達	1		遠藤 悦代
WP077	ちびプロと愉快な仲間達	2		木下 絹子
WP077	ちびプロと愉快な仲間達	3		徳吉 栄子
WP077	ちびプロと愉快な仲間達	4	385	大月 由香
WP078	☆難土美知☆	1	502	難波理恵子
WP078	☆難土美知☆	2		土屋 真澄
WP078	☆難土美知☆	3		藤井 美聡
WP078	☆難土美知☆	4	456	黒田 知子
WP079	ぶるーえんじぇるず	1		工藤 由佳
WP079	ぶるーえんじぇるず	2	571	岡田 友貴
WP079	ぶるーえんじぇるず	3		和泉澤芹奈
WP079	ぶるーえんじぇるず	4	486	田中 亜実
WP080	まどりりちゃんと姉妹	1		渡辺 希哩
WP080	まどりりちゃんと姉妹	2	622	渡辺 莉央
WP080	まどりりちゃんと姉妹	3		植田 円香
WP080	まどりりちゃんと姉妹	4	637	濱﨑りりあ
WP081	あなもえてぃん?ゆうここ	1	608	岩渕 萌香
WP081	あなもえてぃん?ゆうここ	2		長森 悠香
WP081	あなもえてぃん?ゆうここ	3		長島 心美
WP081	あなもえてぃん?ゆうここ	4	513	鶴井 亜南
WP082	Re:STRIKE	1	429	森 彩奈江
WP082	Re:STRIKE	2		小野 愛果
WP082	Re:STRIKE	3		木内 萌実
WP082	Re:STRIKE	4	431	野瀬 千春
WP083	お祭り女	1	510	玉城 妙子
WP083	お祭り女	2		南 和栄
WP083	お祭り女	3		森村 尚子
WP083	お祭り女	4	293	天野永美子
WP084	ちーむやまと	1		関根井文音
WP084	ちーむやまと	2	540	倉田 萌
WP084	ちーむやまと	3		神田 結羽
WP084	ちーむやまと	4	593	倉田 結
WP085	みどりんと愉快な仲間たち	1		梶田 愛子
WP085	みどりんと愉快な仲間たち	2	624	小堀香那子
WP085	みどりんと愉快な仲間たち	3		彦田 裕美
WP085	みどりんと愉快な仲間たち	4	620	酒井みれい
WP086	打上花火	1	484	松下 聖子
WP086	打上花火	2		大底 京子
WP086	打上花火	3		大底 星空
WP086	打上花火	4		大底 愛咲
WP087	4♡MUSE	1	607	宮入 梨緒
WP087	4♡MUSE	2		川邊 真央
WP087	4♡MUSE	3		森下 結
WP087	4♡MUSE	4	601	河村 怜奈
WP088	めいるりにおんぶに抱っこ☆	1		江原 芽生
WP088	めいるりにおんぶに抱っこ☆	2	500	廣崎 彩子
WP088	めいるりにおんぶに抱っこ☆	3	606	田中 美佳
WP088	めいるりにおんぶに抱っこ☆	4		山津 瑠璃
WP089	運命のよしめめ	1	537	岩見 彩乃
WP089	運命のよしめめ	2		伊藤 瑞月
WP089	運命のよしめめ	3	512	村山 恵梨
WP089	運命のよしめめ	4		重越奈津美
WP090	DSL	1		鈴木 淳子
WP090	DSL	2	221	近藤 文美
WP090	DSL	3		氏家 正子
WP090	DSL	4	450	佐藤まさみ
WP091	MIOCONA	1		三宅 心菜
WP091	MIOCONA	2		中塩 美桜
WP091	MIOCONA	3		藤村 七夕
WP091	MIOCONA	4	507	寺下 智香
WP092	どんちゃん★ぬーちゃん	1	494	桑藤 美樹
WP092	どんちゃん★ぬーちゃん	2		永野しのぶ
WP092	どんちゃん★ぬーちゃん	3		古舘 樹子
WP092	どんちゃん★ぬーちゃん	4	489	堀井 千恵
WP093	♡goddesses♡	1		谷原 美来
WP093	♡goddesses♡	2	504	甘糟まな実
WP093	♡goddesses♡	3	493	櫻井眞利子
WP093	♡goddesses♡	4		安田 柚依
WS001	北海道クラシッククラブ道央支部	1		澤田真由美
WS001	北海道クラシッククラブ道央支部	2		小柳 公子
WS001	北海道クラシッククラブ道央支部	3		金井麻美子
WS001	北海道クラシッククラブ道央支部	4		中西ちあき
WA001	TEAM ARIA	1		鬼頭 友美
WA001	TEAM ARIA	2		山下 麻美
WA001	TEAM ARIA	3		飯田江利子
WA001	TEAM ARIA	4		中川みち子
WA002	スイッチON＋	1		谷川 緑
WA002	スイッチON＋	2		西村 美幸
WA002	スイッチON＋	3		今野弥沙子
WA002	スイッチON＋	4		今井 靖香
WA003	TRMY Girls	1		新美 琉葉
WA003	TRMY Girls	2		淺井 月音
WA003	TRMY Girls	3		森島 未華
WA003	TRMY Girls	4		淺井 優月
WA005	TEAM NIMR	1		若松 那奈
WA005	TEAM NIMR	2		土屋 郁乃
WA005	TEAM NIMR	3		山本みさの
WA005	TEAM NIMR	4		明石 理恵
WA006	ビバ！ジャンダルム	1		田中 里美
WA006	ビバ！ジャンダルム	2		青木 順子
WA006	ビバ！ジャンダルム	3		岡本 萌花
WA006	ビバ！ジャンダルム	4		高橋 尚代
WA008	大人女子会♡	1		山内 恵美
WA008	大人女子会♡	2		與儀ひとみ
WA008	大人女子会♡	3		平山 ユキ
WA008	大人女子会♡	4		照沼真里奈
WA009	やっチャイナ！2♡26ATYN	1		山口 純子
WA009	やっチャイナ！2♡26ATYN	2		土田 直美
WA009	やっチャイナ！2♡26ATYN	3		中野 葉子
WA009	やっチャイナ！2♡26ATYN	4		足立 友香
WA010	グリットFour	1		梅木 佳恵
WA010	グリットFour	2		高橋伊和子
WA010	グリットFour	3		平田美由紀
WA010	グリットFour	4		米倉 幸
WA011	サンガ＆ラウ1	1		高橋 弘美
WA011	サンガ＆ラウ1	2		内田 千鶴
WA011	サンガ＆ラウ1	3		加藤和歌子
WA011	サンガ＆ラウ1	4		安井 由美
WA012	ClubDaice☆Shine	1		山浦 徳子
WA012	ClubDaice☆Shine	2		副島 瑞子
WA012	ClubDaice☆Shine	3		土井 杏華
WA012	ClubDaice☆Shine	4		南里八千代
WA013	薩摩おごじょ	1		那波 了子
WA013	薩摩おごじょ	2		渡辺多美子
WA013	薩摩おごじょ	3		田中伊久代
WA013	薩摩おごじょ	4		上村 祥納
WA015	Lucky4	1		安川ちか子
WA015	Lucky4	2		髙橋 栄子
WA015	Lucky4	3		佐野 玲子
WA015	Lucky4	4		稲葉久見子
WA016	シューズカバー外すの忘れずに！	1		宮崎みづほ
WA016	シューズカバー外すの忘れずに！	2		藤田 彩佳
WA016	シューズカバー外すの忘れずに！	3		山本 真樹
WA016	シューズカバー外すの忘れずに！	4		山下 幸子
